date,status,adp_status_month
2020-11,unsentenced_by_month,259
2020-11,sentenced_by_month,48
2020-12,unsentenced_by_month,243
2020-12,sentenced_by_month,48
2021-01,unsentenced_by_month,243
2021-01,sentenced_by_month,37
2021-02,unsentenced_by_month,230
2021-02,sentenced_by_month,39
2021-03,unsentenced_by_month,241
2021-03,sentenced_by_month,43
2021-04,unsentenced_by_month,253
2021-04,sentenced_by_month,40
2021-05,unsentenced_by_month,276
2021-05,sentenced_by_month,48
2021-06,unsentenced_by_month,294
2021-06,sentenced_by_month,67
2021-07,unsentenced_by_month,301
2021-07,sentenced_by_month,64
2021-08,unsentenced_by_month,299
2021-08,sentenced_by_month,67
2021-09,unsentenced_by_month,282
2021-09,sentenced_by_month,45
2021-10,unsentenced_by_month,274
2021-10,sentenced_by_month,40
2021-11,unsentenced_by_month,265
2021-11,sentenced_by_month,41
2021-12,unsentenced_by_month,261
2021-12,sentenced_by_month,44
2022-01,unsentenced_by_month,264
2022-01,sentenced_by_month,45
2022-02,unsentenced_by_month,275
2022-02,sentenced_by_month,46
2022-03,unsentenced_by_month,257
2022-03,sentenced_by_month,45
2022-04,unsentenced_by_month,240
2022-04,sentenced_by_month,47
2022-05,unsentenced_by_month,247
2022-05,sentenced_by_month,57
2022-06,unsentenced_by_month,249
2022-06,sentenced_by_month,65
2022-07,unsentenced_by_month,249
2022-07,sentenced_by_month,73
2022-08,unsentenced_by_month,259
2022-08,sentenced_by_month,76
2022-09,unsentenced_by_month,265
2022-09,sentenced_by_month,79
2022-10,unsentenced_by_month,278
2022-10,sentenced_by_month,82
2022-11,unsentenced_by_month,286
2022-11,sentenced_by_month,77
2022-12,unsentenced_by_month,283
2022-12,sentenced_by_month,80
2023-01,unsentenced_by_month,293
2023-01,sentenced_by_month,59
